company,name,sector,sector_name,scope1,scope2,emissions,market_value,revenues,carbon_footprint,intensity
utx,UNITED TECHNOLOGIES,20,Industrial,785.316,1071.071,1856.387,128980.9,66501.0,14.39272791552858,27.91517420790665
avgo,BROADCOM,45,IT,,,,130028.6,22597.0,,
pm,PHILIP MORRIS INTL.,30,Consumer Staples,388.384,438.896,827.28,130771.3,29625.0,6.32615872137082,27.925063291139242
hon,HONEYWELL INTL.,20,Industrial,1355.42,1228.457,2583.8770000000004,126751.0,41802.0,20.38545652499783,61.81228170900915
tmo,THERMO FISHER SCIENTIFIC,35,Health Care,,,,128060.6,24358.0,,
nke,NIKE 'B',25,Consumer Discretionary,26.339,289.556,315.895,121761.9,39117.0,2.5943665465141392,8.075644860290922
unp,UNION PACIFIC,20,Industrial,10613.883,356.015,10969.898,121637.6,22832.0,90.18509079429386,480.4615451997197
nee,NEXTERA ENERGY,55,Util,42109.19922,,,114294.1,16727.0,,
txn,TEXAS INSTRUMENTS,45,IT,1161.654,1234.444,2396.098,117847.1,15784.0,20.332261039940736,151.80549923973643
lly,ELI LILLY,35,Health Care,484.78,994.404,1479.184,116847.9,24555.7,12.659055062179124,60.23790810280301
lmt,LOCKHEED MARTIN,20,Industrial,291.523,745.682,1037.205,108329.4,53762.0,9.574547629729325,19.292530039805065
lin,LINDE,15,Materials,9700.0,15200.0,24900.0,112763.9,14900.0,220.81534959326524,1671.1409395973153
sbux,STARBUCKS,25,Consumer Discretionary,291.271,808.914,1100.185,104176.1,26508.6,10.56081961217592,41.5029462136816
dhr,DAHER,35,Health Care,,,,108675.9,19893.0,,
ge,GENERAL ELECTRIC,20,Industrial,1665.61,2126.141,3791.751,99911.75,121616.0,37.95100175905237,31.178060452572034
axp,AMERICAN EXPRESS,40,Financial,24.162,119.932,144.094,100352.7,43281.0,1.4358756665241692,3.3292668838520365
mmm,3M,20,Industrial,3960.0,1880.0,5840.0,96930.44,32765.0,60.24939121291516,178.23897451548908
chtr,CHARTER COMMS.CL.A,50,Communication Services,,,,100860.6,43634.0,,
cvs,CVS HEALTH,35,Health Care,206.086,1131.013,1337.099,96609.63,194579.0,13.840224830588834,6.87175388916584
qcom,QUALCOMM,45,IT,80.179,130.297,210.476,101681.3,24273.0,2.0699577995167253,8.671198450953733
usb,US BANCORP,40,Financial,55.029,287.196,342.225,94570.5,25775.0,3.6187288848002286,13.277400581959263
mo,ALTRIA GROUP,30,Consumer Staples,167.695,172.312,340.007,93275.5,19627.0,3.645190859336053,17.32343200692923
amt,AMERICAN TOWER,60,Real Estate,619.256,1778.676,2397.932,92880.06,7440.1,25.8175113151305,322.29835620488967
low,LOWE'S COMPANIES,25,Consumer Discretionary,399.567,2021.567,2421.134,90597.38,71309.0,26.724106149648033,33.952712841296325
gs,GOLDMAN SACHS GP.,40,Financial,11.147,186.991,198.138,80041.31,52528.0,2.475446741189019,3.7720453853183065
fis,FIDELITY T.INFO.SVS.,45,IT,,,,84034.25,8423.0,,
gild,GILEAD SCIENCES,35,Health Care,,,,85561.88,22127.0,,
ms,MORGAN STANLEY,40,Financial,29.45,209.3,238.75,82046.75,50193.0,2.909926352963402,4.7566393720239875
